title,genres,release_year,user_rating,keywords,director,description,poster_url,trailer_url,adult
Sunset Boulevard,Drama,1950,8.3,"new year's eve, jealousy, loss of sense of reality, screenwriter, butler, delusion, diva, film noir, hollywood, los angeles, california, black and white, madness, aging actor, has been, silent film star, grandiose  behavior, kept man, movie studio, bitter",Billy Wilder,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,https://image.tmdb.org/t/p/w500/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg,https://www.youtube.com/watch?v=_dY0SVxnHjQ,0
Sound of Hope: The Story of Possum Trot,Drama,2024,6.7,"mentally disabled, child abuse, jealousy, prayer, forgiveness, pastor, texas, foster parents, disabled child, gospel, based on true story, dysfunctional family, domestic violence, death of mother, religious film, east texas, foster care, 1990s, coping mechanisms, unconditional love, foster mom, christian film, black community, traumatized child, child sexual abuse, christian faith, inspirational, black stories, period piece, psychological trauma, broken trust, based on real person",Joshua Weigel,"Led by Donna and Reverend W.C. Martin, 22 families from a rural Black church in the small East Texas town of Possum Trot adopt 77 of the most difficult-to-place kids in the foster system and kickstart a movement in the process.",https://image.tmdb.org/t/p/w500/fj8zjuUND04DQ49gfQL2OUGWMH3.jpg,https://www.youtube.com/watch?v=-nyh9tcGFcI,1
The Quick and the Dead,"Western, Action",1995,6.542,"gunslinger, revenge, prairie, shootout, awestruck",Sam Raimi,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.",https://image.tmdb.org/t/p/w500/jhEmrXJpP6F3cqwyLjvgBgxxxFA.jpg,https://www.youtube.com/watch?v=Lo9cGqmHXhg,0
Death Sentence,"Action, Crime, Drama, Thriller",2007,6.8,"based on novel or book, loss of loved one, repayment, revenge, murder, gang, shootout, police officer killed, hospital, brutality, justice, hoodlum, semiautomatic pistol, neo-noir",James Wan,"Nick Hume is a mild-mannered executive with a perfect life, until one gruesome night he witnesses something that changes him forever. Transformed by grief, Hume eventually comes to the disturbing conclusion that no length is too great when protecting his family.",https://image.tmdb.org/t/p/w500/3rdEAMh4a3pc7GO6fSkJwpt7BWX.jpg,https://www.youtube.com/watch?v=RVdWq9jxejI,0
The Legion,"Adventure, History, Action",2020,6.0,,Jose Magan,"Noreno, a half-Roman, is entrusted with the mission of crossing the snowy mountains of Armenia, swarming with Parthian patrols, to seek help for his slowly dying men.",https://image.tmdb.org/t/p/w500/1kiCqFizPPpULUR1YhAkp8bO9Jo.jpg,https://www.youtube.com/watch?v=uDp1pBwrqKE,0
Blade of the 47 Ronin,Fantasy,2022,6.5,"samurai, budapest, hungary",Ron Yuan,"In this sequel to ""47 Ronin,"" a new class of warriors emerges among the Samurai clans to keep a sought-after sword from falling into the wrong hands.",https://image.tmdb.org/t/p/w500/kjFDIlUCJkcpFxYKtE6OsGcAfQQ.jpg,https://www.youtube.com/watch?v=xWN2iVRlqek,0
Suicide Squad: Hell to Pay,"Science Fiction, Action, Animation",2018,7.092,"based on comic, adult animation, dc animated movie universe",Sam Liu,"It’s batter up at Belle Reve and that can only mean that Amanda Waller, the penitentiary’s cold and calculating warden, has a mission that only the damned will take on. It’s time to unleash Task Force X again, stacked with seasoned vets such as Deadshot, Captain Boomerang and Harley Quinn, these crafty criminals are joined by newcomers Copperhead, Killer Frost and the martial art master, Bronze Tiger! With the target objective being a mystical object so powerful that they’re willing to risk their own lives to steal it, you can be sure it will be collision of chaos, gunfire and attitudes. So, take aim for a raging road trip with the Suicide Squad!",https://image.tmdb.org/t/p/w500/dz1gFifZuqSKxy97Se5yhGtnZNu.jpg,https://www.youtube.com/watch?v=l0FyWzZtI94,0
No Reservations,"Comedy, Romance, Drama",2007,6.648,"new love, funeral, loss of loved one, italy, competition, cooking, mother role, bars and restaurants, restaurant, perfectionist, fine dining",Scott Hicks,"Master chef Kate Armstrong runs her life and her kitchen with intimidating intensity. However, a recipe for disaster may be in the works when she becomes the guardian of her young niece while crossing forks with the brash sous-chef who just joined her staff. Though romance blooms in the face of rivalry, Kate needs to look outside the kitchen to find true happiness.",https://image.tmdb.org/t/p/w500/eKqfRSf0DZ0Qey1f9ZHuZfsmXVR.jpg,https://www.youtube.com/watch?v=qm68An_PzAs,0
Goyo,"Drama, Romance, Comedy",2024,6.883,"love, asperger's syndrome",Marcos Carnevale,"A young autistic museum guide lives by a strict routine — until he falls in love with his coworker and must confront a whirlwind of new, intense emotions.",https://image.tmdb.org/t/p/w500/fCjC1RRbEJUpDjM55RNUMXQen0b.jpg,,0
B&B Merry,"Romance, Comedy, Drama, Tv Movie",2022,6.0,christmas,Paula Elle,"Tracey Wise is a renowned luxury travel blogger who is invited by Graham Cooper to a Christmas getaway in exchange for her review of his family’s small bed & breakfast, Silver Peak. Unfortunately, the humble B&B is facing tough competition from an upscale hotel resort nearby that has been stealing guests and threatening the survival of the family business.",https://image.tmdb.org/t/p/w500/7WSMNERoqgtOwV1Q5xDmAiLvMeE.jpg,,0
Godzilla x Kong: The New Empire,"Action, Adventure, Science Fiction",2024,7.142,"giant monster, sequel, dinosaur, monkey, kaiju, fantasy world, giant ape, langue française, godzilla, king kong, cliché, pretentious",Adam Wingard,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",https://image.tmdb.org/t/p/w500/z1p34vh7dEOnLDmyCrlUVLuoDzd.jpg,https://www.youtube.com/watch?v=m2u6RfmTXt0,0
The Call of the Wild,"Adventure, Family, Drama",2020,7.6,"based on novel or book, affectation, gold rush, dog, sled dogs, yukon, canada, 19th century, pets, appreciative",Chris Sanders,"Buck is a big-hearted dog whose blissful domestic life is turned upside down when he is suddenly uprooted from his California home and transplanted to the exotic wilds of the Yukon during the Gold Rush of the 1890s. As the newest rookie on a mail delivery dog sled team—and later its leader—Buck experiences the adventure of a lifetime, ultimately finding his true place in the world and becoming his own master.",https://image.tmdb.org/t/p/w500/33VdppGbeNxICrFUtW2WpGHvfYc.jpg,https://www.youtube.com/watch?v=5P8R2zAhEwg,0
The Hobbit: An Unexpected Journey,"Adventure, Fantasy, Action",2012,7.357,"based on novel or book, orcs, elves, dwarf, magic, horseback riding, sword, burglar, legend, riddle, mountain, contract, travel, troll, creature, thunderstorm, fantasy world, wizard, epic battle, lost ring, journey, ring, tunnel, underground lake, buried treasure, invisibility, quest, live action and animation, high fantasy, sword and sorcery, trekking, goblins, good versus evil, backstory, creatures, fantasy creature, amused, hobbit",Peter Jackson,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",https://image.tmdb.org/t/p/w500/yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg,https://www.youtube.com/watch?v=CXqZK-nbZ74,0
Night Swim,Horror,2024,5.6,"supernatural, swimming pool, evil spirit, teenage girl, real estate agent, 1990s, pool party, pool, anxious, 2000s, supernatural horror, based on short, night swimming, pathetic, absurd, horror, hilarious",Bryce McGuire,"Forced into early retirement by a degenerative illness, former baseball player Ray Waller moves into a new house with his wife and two children. He hopes that the backyard swimming pool will be fun for the kids and provide physical therapy for himself. However, a dark secret from the home's past soon unleashes a malevolent force that drags the family into the depths of inescapable terror.",https://image.tmdb.org/t/p/w500/gSkfBGdxdialBMM7P02V4hcI6Ij.jpg,https://www.youtube.com/watch?v=PhlLO3Nb3sY,0
Twin Dragons,"Comedy, Action",1992,6.7,"mistaken identity, martial arts master, pianist, twins, concert pianist",Ringo Lam,"Twins, separated at birth, end up as a Hong Kong gangster and a New York concert pianist. When the pianist travels to Hong Kong for a concert, the two inevitably get mistaken for each other.",https://image.tmdb.org/t/p/w500/86oeSmgXXIoCjXXyzYq5cl5BijO.jpg,https://www.youtube.com/watch?v=wHkahcQ_4y4,0
Viridiana,Drama,1962,7.6,"based on novel or book, nun, faith, lie, uncle, wine, devoutness, rural area, black and white, orphan, guilt, mother superior, convent (nunnery), novice, vow, intense",Luis Buñuel,"Viridiana is preparing to start her life as a nun when she is sent, somewhat unwillingly, to visit her aging uncle, Don Jaime. He supports her; but the two have met only once. Jaime thinks Viridiana resembles his dead wife. Viridiana has secretly despised this man all her life and finds her worst fears proven when Jaime grows determined to seduce his pure niece. Viridiana becomes undone as her uncle upends the plans she had made to join the convent.",https://image.tmdb.org/t/p/w500/mYPuSx5JwL8AdTwS1iQW4Un1cYP.jpg,https://www.youtube.com/watch?v=o-6rnSMP1rI,0
The Larva Island Movie,"Animation, Family",2020,7.2,"island, lava, wild animal, larvae",Ahn Byoung-wook,"Back at home, Chuck relates the island shenanigans of his larva pals Red and Yellow to a skeptical reporter in this movie sequel to the hit cartoon.",https://image.tmdb.org/t/p/w500/uHdxICUIRGoJjK67aOp3ykvL8ZW.jpg,https://www.youtube.com/watch?v=BlNyQk2W83k,0
Wind River,"Crime, Mystery, Thriller, Western",2017,7.441,"wyoming, usa, rape, gun, fbi, mountain, investigation, native american, forest, murder, shootout, photograph, native american reservation, binoculars, rape and revenge, snowmobile, missing and murdered indigenous women",Taylor Sheridan,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,https://image.tmdb.org/t/p/w500/pySivdR845Hom4u4T2WNkJxe6Ad.jpg,https://www.youtube.com/watch?v=E0qRHABxvfc,1
Out of My Mind,Drama,2024,7.315,"based on novel or book, bullying, wheelchair user   , coming of age, teenage girl, middle school, cerebral palsy, fitting in, sixth grader, non-verbal, perserverance",Amber Sealey,"Melody Brooks, a sixth grader with cerebral palsy, has a quick wit and a sharp mind, but because she is non-verbal and uses a wheelchair, she is not given the same opportunities as her classmates. When a young educator notices her student's untapped potential and Melody starts to participate in mainstream education, Melody shows that what she has to say is more important than how she says it.",https://image.tmdb.org/t/p/w500/o8qtMeCskitW5QwSu6O1nP4jN6z.jpg,https://www.youtube.com/watch?v=AvVxyoQQzFs,0
Hidden Desire,"Romance, Drama",1991,4.8,,Ho Fan,"David is sitting in a bar, musing over why he has bedded and left five or six of Asia's loveliest women in such a short time.",https://image.tmdb.org/t/p/w500/39cD7X07Nrt3wsEqcYP1n9BhjX2.jpg,,0
My Hero Academia: World Heroes' Mission,"Animation, Action, Adventure, Science Fiction, Fantasy",2021,7.617,"japan, hero, superhero, school, fighting, super power, shounen, anime",Kenji Nagasaki,"A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations, that power will bring forth the end of humanity. In order to save everyone, the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-class selected hero team. It’s up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia.",https://image.tmdb.org/t/p/w500/jzP5rPwwNqUGERlrUzKKljfyulf.jpg,https://www.youtube.com/watch?v=0r4OB67me6I,0
Don't Look Now... We're Being Shot At!,"Comedy, War",1966,7.9,"opera, paris, france, general, world war ii, conductor, bomber, paratroops, french resistance, british soldier, nazi occupation, house painter, 1940s, occupied france (1940-44), royal air force",Gérard Oury,"During World War II, two French civilians and a downed British Bomber Crew set out from Paris to cross the demarcation line between Nazi-occupied Northern France and the South. From there they will be able to escape to England. First, they must avoid German troops – and the consequences of their own blunders.",https://image.tmdb.org/t/p/w500/91l4Sf3WJwrb0tSVPsOqnBXG8E6.jpg,https://www.youtube.com/watch?v=ZmWcxvB1j_E,0
The Story of O,Drama,1975,5.596,"bondage, based on novel or book, eroticism, sadomasochism, fashion photographer, subjection, bdsm, kinky sex",Just Jaeckin,"The beautiful O is taken by her boyfriend, Rene, to a bizarre retreat, where she is trained in bondage and sexual perversion...",https://image.tmdb.org/t/p/w500/u0BtQiJV0Rop2noARbzeaL58a8Y.jpg,https://www.youtube.com/watch?v=Gdrh0ZPAtqE,1
Robot Dreams,"Animation, Drama, Comedy, Science Fiction",2023,8.055,"friendship, based on comic, summer, robot, silent film, adult animation, depressing",Pablo Berger,A lonely dog's friendship with his robot companion takes a sad turn when an unexpected malfunction forces him to abandon Robot at the beach. Will Dog ever meet Robot again?,https://image.tmdb.org/t/p/w500/ds402Qq09ybgBcXKiQNTZfzsP5o.jpg,https://www.youtube.com/watch?v=DD4WBGptMSw,0
Paranormal Activity 2,"Horror, Mystery",2010,5.8,"haunting, ouija board, demonic possession, found footage, duringcreditsstinger, antagonistic",Tod Williams,"Just as Daniel and Kristi welcome a newborn baby into their home, a demonic presence begins terrorizing them, tearing apart their perfect world and turning it into an inescapable nightmare.",https://image.tmdb.org/t/p/w500/gfdrkBZAyUUXJJ2iLQe03SAYRD3.jpg,https://www.youtube.com/watch?v=ftD6rIAR-Hw,0
Naruto Shippuden the Movie: Bonds,"Fantasy, Animation, Action",2008,7.2,"anime, shippuuden, adventure",Hajime Kamegaki,"A mysterious group of ninjas makes a surprise attack on the Konohagakure, which takes great damage. The nightmare of another Shinobi World War could become a reality. Sasuke, who was still a missing nin from Konoha trying to kill his brother, Itachi, appears for the second time in front of Naruto at an unknown location to prevent it from happening.",https://image.tmdb.org/t/p/w500/bBqEiQbbfyt4MWR3NhDZMbS4Wp8.jpg,https://www.youtube.com/watch?v=eUMyDIAczeQ,0
The Imaginary,"Animation, Adventure, Drama, Family, Fantasy",2023,8.0,"imaginary friend, based on children's book, anime, imagination",Yoshiyuki Momose,"Amanda and her imaginary friend Rudger go on thrilling make-believe adventures. But when Rudger finds himself alone, he faces a mysterious threat.",https://image.tmdb.org/t/p/w500/j2a9eQaoI91EuKnhGbE8yvPfmyV.jpg,https://www.youtube.com/watch?v=_x_8dzLkaJY,0
Animal Instincts 2,"Drama, Thriller",1994,4.2,"voyeurism, erotic thriller",Gregory Dark,"An unhappy divorcée has the bad fortune to move next door to a security systems installer, a voyeur whose hobby is planting hidden video cameras in the bedrooms of all his clients. He then monitors the sex lives of his customers through an elaborate TV monitor system in his garage. Joanna Cole becomes his latest victim, but when she discovers the camera by accident, she reverts back to her exhibitionist ways and begins putting on sex shows for his pleasure. Things gets ugly when Jim professes his love for her but is rebuffed.",https://image.tmdb.org/t/p/w500/vQICrKPUBLLrjLLvpn7QtWQ8rGL.jpg,,1
Horrible Bosses,"Comedy, Crime",2011,6.572,"bad boss, employee, death of father, stakeout, duringcreditsstinger",Seth Gordon,"For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently.",https://image.tmdb.org/t/p/w500/o1vGCcVXdLu90FfEUCoizFpiMQI.jpg,https://www.youtube.com/watch?v=VpUeQV8sdOc,0
The Velveteen Rabbit,"Animation, Family, Fantasy",2023,7.0,"based on children's book, rabbit, christmas, live action and animation, velveteen",Jennifer Perrott,"When seven-year-old William receives a new favorite toy for Christmas, he discovers a lifelong friend and unlocks a world of magic.",https://image.tmdb.org/t/p/w500/aM0ViG6LVkN1PQGe9Bon1gQXpc7.jpg,https://www.youtube.com/watch?v=49R6Ri6oV3E,0
Cruel Fixation,Thriller,2019,6.7,,Damián Romay,A recent widow is glad when her son finds a new friend. But it soon becomes clear that he's after a different type of companionship. Will their attraction be her undoing? And what secrets is hiding?,https://image.tmdb.org/t/p/w500/1d7A66mMtoJ5TQ3UWJn26qUZEhQ.jpg,https://www.youtube.com/watch?v=_FSFiy_25Vc,0
Wrong Turn 6: Last Resort,Horror,2014,5.4,"lake, mountain lake, mutant, forest, sequel, redneck, slasher, cannibal, hunting, incest, survival horror, voyeurism, voyeur, resting place",Valeri Milev,"A sudden and mysterious inheritance brings Danny and his friends to Hobb Springs, a forgotten resort deep in the West Virginia hills. Hobb Springs is being looked after under the watchful care of Jackson and Sally, a socially awkward couple who introduce Danny to the long lost family he's never known. A clan by the name of Hillicker. But soon Danny learns his relatives have a different way of living, that for generations, the Hillickers have observed ancient traditions rooted in cannibalism and other taboo rituals.",https://image.tmdb.org/t/p/w500/cV1biK7jlHVXlQ7ErYe5MUSBGcx.jpg,https://www.youtube.com/watch?v=R2jV-JSU8Yo,1
As Good as It Gets,"Drama, Comedy, Romance",1997,7.394,"new york city, friendship, waitress, single parent, restaurant, lone wolf, dogsitter, road trip, racist, neighbor, author, obsessive compulsive disorder (ocd), single mother, home invasion, dog, art dealer, rude, obnoxious, unlikely friendship, hospitalization, painter as artist, generosity, mother son relationship, dog owner, gay artist, lgbt interest, unexpected romance, daily routine, romance novelist, child with illness, homophobic",James L. Brooks,"Melvin Udall, a cranky, bigoted, obsessive-compulsive writer of romantic fiction, is rude to everyone he meets, including his gay neighbor, Simon. After Simon is hospitalized, Melvin finds his life turned upside down when he has to look after Simon's dog. In addition, Carol, the only waitress at the local diner who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.",https://image.tmdb.org/t/p/w500/xXxuJPNUDZ0vjsAXca0O5p3leVB.jpg,https://www.youtube.com/watch?v=t2d89afgtqg,0
Holiday Touchdown: A Chiefs Love Story,"Romance, Tv Movie",2024,0.0,,John Putch,"Alana Higman, a die-hard Kansas City Chiefs fan, and her family are competing to win the team's Fan of the Year contest, in a process judged by the director of fan engagement Derrick. As the pair spends time together, it's clear there's a spark between them. But when her grandfather's vintage Chiefs good luck winter hat goes missing, Alana begins to doubt everything she believed about fate, destiny and even questions her future with Derrick.",https://image.tmdb.org/t/p/w500/lQNGXvLJe9CJzgGGcMLpkHNmRpr.jpg,https://www.youtube.com/watch?v=QGsUO--75oY,0
Loving Annabelle,"Drama, Romance",2007,6.6,"girls' boarding school, teacher, lesbian relationship, lesbian sex, lgbt, woman director, lesbian",Katherine Brooks,"Annabelle is the wise-beyond-her-years newcomer to an exclusive Catholic girls school. Having been expelled from her first two schools she's bound to stir some trouble. Sparks fly though when sexual chemistry appears between her and the Head of her dorm and English teacher, Simone Bradley. Annabelle pursues her relentlessly and until the end the older woman manages to avoid the law.",https://image.tmdb.org/t/p/w500/ezgUinJ6bH0xOWQTqPpb0b7qzE6.jpg,https://www.youtube.com/watch?v=AEzcWmymuEk,1
House of Pleasures,Drama,2011,6.5,"paris, france, brothel, eroticism, sexual fantasy, sexual humiliation, prostitution, sexual desire, sexual favor, sexual exploration, sexual experimentation, sexual relationship, sexual attitudes, sexual discovery, sexual education",Bertrand Bonello,"The dawn of the 20th century: L’Apollonide, a luxurious and traditional brothel in Paris, is living its last days. In this closed world, where some men fall in love and others become viciously harmful, the women share their secrets, their fears, their joys and their pains.",https://image.tmdb.org/t/p/w500/adkiqkEOKW8nMlfF8hVcaPWTAwB.jpg,https://www.youtube.com/watch?v=xAjHNnQNVEo,1
"Like Father, Like Son",Drama,2013,7.6,"parent child relationship, family relationships, childhood, lost child, eating with chopsticks, father son relationship",Hirokazu Kore-eda,Ryota Nonomiya is a successful businessman driven by money. He learns that his biological son was switched with another child after birth. He must make a life-changing decision and choose his true son or the boy he raised as his own.,https://image.tmdb.org/t/p/w500/fzSDVHdDL6Oqv7NWAUikoRxSHmp.jpg,https://www.youtube.com/watch?v=gLEPbl2TL8s,0
Battleship,"Thriller, Action, Adventure, Science Fiction",2012,5.9,"fight, u.s. navy, mind reading, hong kong, football (soccer), scientist, fictional war, naval, armada, battleship, naval combat, jds myoko, lost communication, taser, buoy, communications expert, joint chiefs of staff, crash landing, jet fighter pilot, navy lieutenant, permission to marry, aftercreditsstinger, naval warfare, uss missouri",Peter Berg,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential that his brother, and his fiancée's father—an Admiral—expect of him.",https://image.tmdb.org/t/p/w500/9b0Im7SfedHiajTwzSL9zGyBI7M.jpg,https://www.youtube.com/watch?v=wvXKvbIAq2k,0
Porch Pirates,"Comedy, Family, Drama",2024,4.0,"chase, holiday, mayor, thanksgiving, pizza delivery, redemption, nostalgia, arrest, community, detective story, saving christmas, slapstick comedy, tracker, drone, cat and mouse, justice, widower, family holiday, family feud, buddy comedy, pizza delivery boy, package, holiday season, christmas spirit, stolen, christmas, east texas, perseverance, festive, detective with humor, playful, comical detective, detectives, detective comedy, mixed marriage, lighthearted, abuela, charming, family comedy, thieves, suspenseful, comedic, heartwarming, bacon, beanie baby, whimsical, cheerful, porch pirates, christmas pickle, grand daughter, holiday comedy, ip address, new detective, porch pirate, sticky, tres leches cake, holiday heist, uplifting, neighborhood crime, cat-and-mouse chase, christmas mischief, surprising twists, bumbling criminals, small-town drama, holiday miracles, holiday spirit, generosity vs. greed, family and friendship, mischief and fun, festive traditions, heist comedy, crime comedy, light adventure, feel-good comedy",Jeff Hamm,"In ""Porch Pirates,"" three detectives—Jack Tyler, Marcos Fernandez, and Sally Jones—tackle the challenge of catching a group of holiday thieves. As they strive to safeguard the festive season, they also manage personal struggles. Jack balances his demanding job with his vibrant family life, while widower Marcos grapples with his grief during the holidays. The plot thickens with a high-stakes mission to retrieve a valuable Beanie Baby stolen from the Mayor's porch, threatening the town's Christmas spirit. This thrilling chase is laden with humor, surprising turns, and a sprinkle of holiday magic, reminding us that Christmas joy comes from unity, laughter, and sometimes, chasing the perfect, unconventional gift.",https://image.tmdb.org/t/p/w500/6pimaWdX5hnno4jlpOIqwmiBAn4.jpg,https://www.youtube.com/watch?v=-JttdQJZNNM,0
"LaRoy, Texas","Crime, Comedy, Thriller",2024,6.906,,Shane Atkinson,"Broke and depressed, Ray is mistaken for a dangerous hitman and given an envelope of cash. Along with his P.I. friend Skip, he must escape the actual hitman to make it out of LaRoy alive.",https://image.tmdb.org/t/p/w500/fEYfXyWhFJScE0I5rHsS2JxIiPP.jpg,https://www.youtube.com/watch?v=x4wFY1WCyNE,0
Princess Mononoke,"Adventure, Fantasy, Animation",1997,8.335,"friendship, human vs nature, wolf, fight, wild boar, territory, leprosy, feral child, decapitation, rural area, historical fiction, spirit, demon, nature, environmentalism, adult animation, deforestation, anime, industrialization, fantasy, adventure, award winner",Hayao Miyazaki,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",https://image.tmdb.org/t/p/w500/cMYCDADoLKLbB83g4WnJegaZimC.jpg,https://www.youtube.com/watch?v=opCxPAwdB6U,0
Ciao Alberto,"Animation, Comedy, Family, Fantasy",2021,7.4,"sea, boat, mentor, pasta, short film, silence, короткометражка pixar",McKenna Jean Harris,"With his best friend Luca away at school, Alberto is enjoying his new life in Portorosso working alongside Massimo—the imposing, tattooed, one-armed fisherman of few words—who's quite possibly the coolest human in the entire world as far as Alberto is concerned. He wants more than anything to impress his mentor, but it's easier said than done.",https://image.tmdb.org/t/p/w500/9RKPB9IKDHaTxWQgjkS4IJao08a.jpg,https://www.youtube.com/watch?v=KJZS7oXX5SE,0
Skyfall,"Action, Adventure, Thriller",2012,7.245,"spy, secret agent, sociopath, mi6, killer, art gallery, british secret service, uzi, booby trap, impersonating a police officer, macao, komodo dragon",Sam Mendes,"When Bond's latest assignment goes gravely wrong, agents around the world are exposed and MI6 headquarters is attacked. While M faces challenges to her authority and position from Gareth Mallory, the new Chairman of the Intelligence and Security Committee, it's up to Bond, aided only by field agent Eve, to locate the mastermind behind the attack.",https://image.tmdb.org/t/p/w500/d0IVecFQvsGdSbnMAHqiYsNYaJT.jpg,https://www.youtube.com/watch?v=YvV3g8hLlyU,1
Snödrömmar,Family,2024,0.0,,Jacob Seth Fransson,"The snow is mysteriously missing from ski resort Gavmofjäll, leading 14-year old sámi girl Ristin and her little sister Aila on a quest deep into the ancient secrets of the mountain to save their family from catastrophe.",https://image.tmdb.org/t/p/w500/qTrJp8QySMgma2hU2ouy0KHMhFL.jpg,,0
Miraculous World: Shanghai – The Legend of Ladydragon,"Animation, Fantasy, Action, Tv Movie",2021,7.901,"shanghai, china, superhero",Thomas Astruc,"On school break, Marinette heads to Shanghai to meet Adrien. But after arriving, Marinette loses all her stuff, including the Miraculous that allows her to turn into Ladybug!",https://image.tmdb.org/t/p/w500/qQ0VKsGRQ2ofAmswGNzZnvC1xPE.jpg,https://www.youtube.com/watch?v=TF63WzwuBcM,0
Kaskasero,Drama,2024,6.0,"lesbian relationship, lesbian, sexy, lgbtq",Ludwig Peralta,"A talented mechanic and driver, Migs quickly finds success when a customer he likes, Gabbi, leads him into the life of street car racing. But as he goes along this life and learns of Gabbi’s past, Migs makes rash decisions that might put the brakes on their relationship.",https://image.tmdb.org/t/p/w500/veLIxyQJyXq8Lf6qSbXQl0ckHzC.jpg,,1
Love and Monsters,"Comedy, Action, Adventure",2020,7.307,"monster, bunker, post-apocalyptic future, coming of age, mutant animal, psychotronic, giant crab, teenager",Michael Matthews,"Seven years since the Monsterpocalypse began, Joel Dawson has been living underground in order to survive. But after reconnecting over radio with his high school girlfriend Aimee, Joel decides to venture out to reunite with her, despite all the dangerous monsters that stand in his way.",https://image.tmdb.org/t/p/w500/718NnyxyQuBQcGWt9sdelA1Zc3h.jpg,https://www.youtube.com/watch?v=DdIHtymX_Fc,0
Tomb Raider,"Action, Adventure, Fantasy",2018,6.363,"island, treasure hunt, remake, female protagonist, heiress, based on video game, bicycle courier, missing person, reboot, peril, slave labor, father daughter relationship",Roar Uthaug,"Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she finds herself on the island where her father disappeared.",https://image.tmdb.org/t/p/w500/ePyN2nX9t8SOl70eRW47Q29zUFO.jpg,https://www.youtube.com/watch?v=3KkhD0MnaJU,0
Baise-moi,"Crime, Drama, Romance, Thriller",2000,4.811,"rape, nihilism, sadism, women's sexual identity, feminism, revenge, murder, woman director, depravity, new french extremism",Coralie Trinh Thi,"Nadine and Manu are two mad women, as tidy as can be, almost perfectionists. They have several things in common: extreme sex, drugs, beer and the trigger. They find the solution to their problems with guns and beware to those who dare to get in their way!",https://image.tmdb.org/t/p/w500/semnamlahwCQuHsy48320cYuj8p.jpg,https://www.youtube.com/watch?v=QrNhnhDN_gA,1
Batman,"Fantasy, Action, Crime",1989,7.231,"dual identity, double life, chemical, crime fighter, superhero, villain, based on comic, mobster, organized crime, criminal, super power, madness, cautionary, good versus evil",Tim Burton,"Batman must face his most ruthless nemesis when a deformed madman calling himself ""The Joker"" seizes control of Gotham's criminal underworld.",https://image.tmdb.org/t/p/w500/cij4dd21v2Rk2YtUQbV5kW69WB2.jpg,https://www.youtube.com/watch?v=ygK7sAavO0c,0
We Live in Time,"Romance, Drama, Comedy",2024,7.6,"marriage, father, romance, love, relationship, family, child, sick mother, love story, moving, modern, sad, heartfelt, romantic, meaningful",John Crowley,"An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance.",https://image.tmdb.org/t/p/w500/oeDNBgnlGF6rnyX1P1K8Vl2f3lW.jpg,https://www.youtube.com/watch?v=MH02yagHaNw,0
Apollo 13,"Drama, History",1995,7.45,"rescue, florida, race against time, moon, nasa, spaceman, based on true story, houston, survival, space, disaster, explosion, astronaut, hypothermia, apollo program, lunar mission, spacecraft accident",Ron Howard,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",https://image.tmdb.org/t/p/w500/kzj95o9FlVxKziQq36mjES3wxel.jpg,https://www.youtube.com/watch?v=s6J6x9DojNg,0
