title,genres,release_year,user_rating,keywords,director,description,poster_url,trailer_url,adult
Set It Off,"Crime, Drama, Thriller",1996,7.203,"single parent, bank robber, last chance, heist, los angeles, california, biting, angry, somber, complex, cautionary, suspenseful, incredulous, tense, authoritarian, distressing, hopeful, pessimistic, scathing",F. Gary Gray,"Four inner-city Black women, determined to end their constant struggle, decide to live by one rule — get what you want or die trying. So the four women take back their lives and take out some banks in the process.",https://image.tmdb.org/t/p/w500/wKO2hAMCMWTkEFLPOpKF9zRxxW1.jpg,https://www.youtube.com/watch?v=bKB2KclDMTY,0
9 Songs,"Drama, Music, Romance",2004,5.599,"london, england, concert, rock 'n' roll, sexuality, orgasm, cocaine, blow job, man woman relationship, condom, love, sexual fantasy, pubic hair, breast, ejaculation, american, couple, desire, sexual desire, cunnilingus, naked, exchange student, rock concert, british man, nude, drug, small tits, woman tied to a bed, sex, sexual, vulva, rock, unsimulated sex, intense, erect penis, small breasts",Michael Winterbottom,"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",https://image.tmdb.org/t/p/w500/91O7z0vo7MiNWd5xD2BoivwbQsb.jpg,https://www.youtube.com/watch?v=N1HWcofsxJk,1
State of Siege: Temple Attack,"Action, Drama",2021,6.2,based on true story,Ken Ghosh,"Based on the true incident of the 2002 terrorist attack in Gujarat's Akshardham temple, the story revolves around the bravery of NSG commandos, who stood up for their country and their people in the worst of times.",https://image.tmdb.org/t/p/w500/ckghAN8FuYY2icUyJjVkKXiBrek.jpg,,0
I Spit on Your Grave,"Thriller, Crime, Horror",2010,6.5,"rape, fondling, remake, revenge, writer, garden shears, rape and revenge, emasculation",Steven R. Monroe,"A beautiful woman from the city, Jennifer Hills, rents an isolated cabin in the country to write her latest novel. Soon, a group of local lowlifes subject her to a nightmare of degradation, rape, and violence.",https://image.tmdb.org/t/p/w500/4VZ9eqel8Fsp54KMnesr3xIc67N.jpg,https://www.youtube.com/watch?v=vNqLKj1nxIE,1
Bambi,"Animation, Drama, Family",1942,7.01,"loss of loved one, forest, coming of age, best friend, cartoon rabbit, forest fire, fawn, cartoon deer",David Hand,"Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.",https://image.tmdb.org/t/p/w500/wV9e2y4myJ4KMFsyFfWYcUOawyK.jpg,https://www.youtube.com/watch?v=-jXX-EYTAis,0
Police Academy 2: Their First Assignment,"Comedy, Crime",1985,6.065,"espionage, handcuffs, investigation, police chief, police operation, police everyday life, police academy, commandant",Jerry Paris,"Officer Carey Mahoney and his cohorts have finally graduated from the Police Academy and are about to hit the streets on their first assignment. Question is, are they ready to do battle with a band of graffiti-tagging terrorists? Time will tell, but don't sell short this cheerful band of doltish boys in blue.",https://image.tmdb.org/t/p/w500/xyljfyGSJOdghPsycreHMsnhpU9.jpg,https://www.youtube.com/watch?v=K_pccyu6ipY,0
The Conjuring 2,Horror,2016,7.294,"london, england, england, 1970s, spirit, single mother, demon, paranormal investigation, demonic possession, ghost, christmas, valak, the conjuring universe",James Wan,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,https://image.tmdb.org/t/p/w500/zEqyD0SBt6HL7W9JQoWwtd5Do1T.jpg,https://www.youtube.com/watch?v=VFsmuRPClr4,0
Seven Samurai,"Action, Drama",1954,8.5,"epic, martial arts, japan, samurai, sword, peasant, village, looting, rice, fencing, moral ambiguity, battle, bandit, practice, jidaigeki, 16th century",Akira Kurosawa,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",https://image.tmdb.org/t/p/w500/iAq0sq42vKTLneVGqHn1D4GzgrM.jpg,https://www.youtube.com/watch?v=RsRN65PlaIM,0
Ferrari,"History, Drama",2023,6.4,"husband wife relationship, biography, based on true story, racing, 1950s, cars, ferrari",Michael Mann,"Set during the summer of 1957. Ex-racecar driver, Enzo Ferrari, is in crisis. Bankruptcy stalks the company he and his wife, Laura, built from nothing ten years earlier. Their tempestuous marriage struggles with the mourning for one son and the acknowledgement of another.",https://image.tmdb.org/t/p/w500/LyCOcGqOTyTmaXu2TK8LfGveIb.jpg,https://www.youtube.com/watch?v=8oOVNMjM1Jk,0
The Karate Kid,"Action, Adventure, Drama, Family",2010,6.536,"martial arts, duringcreditsstinger, karate kid, the karate kid, intense, pretentious, straightforward, tragic",Harald Zwart,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",https://image.tmdb.org/t/p/w500/bHjLC5GuBfeyW6ZE07x6TalKj19.jpg,https://www.youtube.com/watch?v=XY8amUImEu0,0
Kickboxer,"Action, Thriller, Drama",1989,6.8,"martial arts, showdown, rape, sibling relationship, sports, fight, wheelchair, bangkok, thailand, thailand, phuket, muay thai, kick boxing, revenge, action hero",Mark DiSalle,"If your enemy refuses to be humbled... Destroy him. Accompanied by his brother Kurt, American kickboxing champion Eric Sloane, arrives in Thailand to defeat the Eastern warriors at their own sport. His opponent: ruthless fighter and Thai champion, Tong Po. Tong not only defeats Eric, he paralyzes him for life. Crazed with anger, Kurt vows revenge.",https://image.tmdb.org/t/p/w500/q3NCTsIb5mzOuf3XbQr9AfZyAaF.jpg,https://www.youtube.com/watch?v=H6Yxw4gxfpI,1
The Lion King II: Simba's Pride,"Family, Adventure, Animation, Action",1998,7.0,"friendship, baby, africa, lion, shakespeare in modern dress, father daughter relationship, familiar",Darrell Rooney,"The circle of life continues for Simba, now fully grown and in his rightful place as the king of Pride Rock. Simba and Nala have given birth to a daughter, Kiara who's as rebellious as her father was. But Kiara drives her parents to distraction when she catches the eye of Kovu, the son of the evil lioness, Zira. Will Kovu steal Kiara's heart?",https://image.tmdb.org/t/p/w500/sWR1x6UCMCGN9xEf8RGhPS934X0.jpg,https://www.youtube.com/watch?v=gxrwh6WNMLU,0
The House,"Drama, Comedy, Fantasy",2022,6.1,"brothel, based on true story, prostitution, older man younger woman relationship, human relationship, boyfriend girlfriend relationship, employer employee relationship, older man younger man relationship, pretending to be a prostitute, brothel madam, human behavior, complicated relationships, straight relationship, interpersonal relationships, book writing, caregiver patient relationship, luxury brothel, troubled relationships",Anissa Bonnefont,"Emma, a French novelist aged 27, decide to go to Berlin and join a brothel to uncover the prostitution world, the subject of her new book. Such as gonzo journalism, Emma become a prostitute and her experience, which was supposed to last a few weeks, will last two years. Was writing her book an excuse for Emma to live a shameful fantasy?",https://image.tmdb.org/t/p/w500/zz6h2hfQ692jeeEkzfgFceyd50Y.jpg,,1
Dakaichi: I'm Being Harassed by the Sexiest Man of the Year—The Movie: In Spain,"Animation, Drama, Comedy, Romance",2021,7.5,"dancing, based on manga, lgbt, acting, gay romance, boys' love (bl), foreign",Naoyuki Tatsuwa,"Takato Saijo has reigned as the idol industry's ""Most Huggable"" for five years, that is, until freshman actor Azumaya. Takato was always considered brusque while Azumaya's smile is winning over admirers by comparison. The whole fiasco drives Takuto to over indulge in alcohol and his actions catch the attention of the last person he wants to see. To his surprise, Azumaya uses this new info to blackmail Takuto for physical affection.",https://image.tmdb.org/t/p/w500/bow6kX2YPoeyb9ZNwqbFxp5eqKr.jpg,,0
While We Sleep,Horror,2021,5.2,,Andrzej Sekula,"After observing a hauntingly familiar abnormal CAT scan of a 13 year old girl, radiologist Nina Evanko battles to find the source of the young girl's sleeping disorder. What she discovers is darker and stranger than she could have imagined.",https://image.tmdb.org/t/p/w500/hLBY8JBpHLxnLyHX9DzzQoeqpOX.jpg,https://www.youtube.com/watch?v=QgThxe11fvk,0
Fidelity,Drama,2019,6.8,"infidelity, jealousy, husband wife relationship, sex scandal, man woman relationship, public sex",Nigina Sayfullaeva,"Lena is a talented midwife and gynaecologist, her husband Serezha is an actor at a provincial drama theatre. They are close and gentle with each other, but there is no sex. Lena suspects that Serezha has an affair, but she worries quietly and does not reveal her jealousy. Instead of sorting out her relationship with her husband, Lena starts to betray him with chance acquaintances. Gradually Lena’s parallel life gets out of control and changes her original life.",https://image.tmdb.org/t/p/w500/kDaRVADrrbwNSGzCvU4AroEa6h1.jpg,https://www.youtube.com/watch?v=0EG2EEzIQaY,1
George of the Jungle,"Adventure, Comedy, Family, Romance",1997,5.616,"san francisco, california, africa, gorilla, narration, lion, feral child, tarzan, breaking the fourth wall, jungle, falling in love, talking to animals, damsel in distress, comedy of errors, accident prone",Sam Weisman,"Deep in the African jungle, a baby named George, the sole survivor of a plane crash, is raised by gorillas. George grows up to be a buff and lovable klutz who has a rainforest full of animal friends: Tookie, his big-beaked toucan messenger; Ape, a witty talking gorilla; and Shep, a peanut-loving pooch of an elephant. But when poachers mess with George's pals, the King of Swing swings into action.",https://image.tmdb.org/t/p/w500/lWp8hUqE4oLPxsYgilXoYoVThfU.jpg,https://www.youtube.com/watch?v=PP9VGoP8xnI,0
